offer_id,application_id,candidate_id,offer_date,offered_role,offered_salary,currency,joining_date,offer_status,response_date,offer_rejection_reason
OFF-00001,APP-0005,CAND-0046,2026-06-25,Product Manager,143584,USD,2026-07-14,Declined,2026-06-27,Salary Negotiation
OFF-00002,APP-0026,CAND-0047,2026-08-20,Senior Engineer,$124752,USD,2026-09-03,Declined,2026-08-24,
OFF-00003,APP-0043,CAND-0011,2026-08-16,Senior Engineer,140209,USD,2026-09-01,Sent,2026-08-23,Salary Negotiation
OFF-00004,APP-0045,CAND-0039,2026-08-27,Sales Rep,113665,USD,2026-09-12,Accepted,2026-09-03,
OFF-00005,APP-0047,CAND-0044,2026-07-11,Product Manager,127811,USD,2026-08-05,Accepted,2026-07-17,
OFF-00006,APP-0057,CAND-0039,07/10/2026,Senior Engineer,116704,USD,2026-08-09,Sent,2026-07-16,
OFF-00007,APP-0058,CAND-0002,06/29/2026,Senior Engineer,102291,USD,07/20/2026,Declined,2026-07-05,Salary Negotiation
OFF-00008,APP-0073,CAND-0015,2026-08-29,Sales Rep,85729,USD,2026-09-20,Accepted,2026-09-04,
OFF-00009,APP-0074,CAND-0046,2026-07-29,Product Manager,82103,USD,2026-08-16,Accepted,2026-08-05,Salary Negotiation
OFF-00010,APP-0076,CAND-0005,08/18/2026,Product Manager,65399,USD,2026-09-01,Sent,,
