onboarding_id,offer_id,application_id,candidate_id,planned_joining_date,actual_joining_date,joining_status,no_join_reason,onboarding_completed
review-clean4-messy-ONB-000001,review-clean4-messy-OFF-000002,review-clean4-messy-APP-000044,review-clean4-messy-CAND-00223,2026-09-27,2026-09-27,JOINED,,True
review-clean4-messy-ONB-000002,review-clean4-messy-OFF-000003,review-clean4-messy-APP-000059,review-clean4-messy-CAND-03810,2026-08-17,08/17/2026,JOINED,Found other offer,False
review-clean4-messy-ONB-000003,review-clean4-messy-OFF-000005,review-clean4-messy-APP-000079,review-clean4-messy-CAND-02213,2026-08-24,2026-08-25,Rejected,,True
review-clean4-messy-ONB-000004,review-clean4-messy-OFF-000008,review-clean4-messy-APP-000132,review-clean4-messy-CAND-02436,09/21/2026,,Joined,,True
review-clean4-messy-ONB-000005,review-clean4-messy-OFF-000009,review-clean4-messy-APP-000150,review-clean4-messy-CAND-00585,10/16/2026,,Joined,,True
review-clean4-messy-ONB-000006,review-clean4-messy-OFF-000010,review-clean4-messy-APP-000198,review-clean4-messy-CAND-02189,10/06/2026,2026-10-11,Joined,,True
review-clean4-messy-ONB-000007,review-clean4-messy-OFF-000011,review-clean4-messy-APP-000227,review-clean4-messy-CAND-00824,2026-08-12,,Joined,,False
review-clean4-messy-ONB-000008,review-clean4-messy-OFF-000012,review-clean4-messy-APP-000260,review-clean4-messy-CAND-02677,07/30/2026,,Joined,Personal reasons,True
review-clean4-messy-ONB-000009,review-clean4-messy-OFF-000014,review-clean4-messy-APP-000267,review-clean4-messy-CAND-01154,2026-08-08,2026-08-11,Joined,,False
review-clean4-messy-ONB-000010,review-clean4-messy-OFF-000016,review-clean4-messy-APP-000295,review-clean4-messy-CAND-03726,2026-08-16,,No Show,,True
review-clean4-messy-ONB-000011,review-clean4-messy-OFF-000017,review-clean4-messy-APP-000314,review-clean4-messy-CAND-00894,2026-08-23,,Cancelled,,true
review-clean4-messy-ONB-000012,review-clean4-messy-OFF-000021,review-clean4-messy-APP-000355,review-clean4-messy-CAND-02191,2026-09-15,2026-09-19,Cancelled,,False
review-clean4-messy-ONB-000013,review-clean4-messy-OFF-000022,review-clean4-messy-APP-000363,review-clean4-messy-CAND-03440,2026-08-14,2026-08-18,No hire,,True
review-clean4-messy-ONB-000014,review-clean4-messy-OFF-000028,review-clean4-messy-APP-000445,review-clean4-messy-CAND-03469,2026-08-10,2026-08-13,No hire,,True
review-clean4-messy-ONB-000015,review-clean4-messy-OFF-000034,review-clean4-messy-APP-000570,review-clean4-messy-CAND-00216,2026-08-19,2026-08-17,Postponed,,False
review-clean4-messy-ONB-000016,review-clean4-messy-OFF-000037,review-clean4-messy-APP-000608,review-clean4-messy-CAND-02561,2026-10-10,10/13/2026,Postponed,Personal reasons,False
review-clean4-messy-ONB-000017,review-clean4-messy-OFF-000040,review-clean4-messy-APP-000655,review-clean4-messy-CAND-02176,2026-09-19,2026-09-22,No Show,Found other offer,True
