offer_id,application_id,candidate_id,offer_date,offered_role,offered_salary,currency,joining_date,offer_status,response_date,offer_rejection_reason
OFF-00001,APP-0005,CAND-0046,2026-06-29,Analyst,129168,USD,2026-07-23,Sent,2026-07-05,
OFF-00002,APP-0026,CAND-0047,2026-08-21,Product Manager,106135,USD,2026-09-18,Accepted,2026-08-28,
OFF-00003,APP-0043,CAND-0011,2026-08-21,Senior Engineer,148094,USD,2026-09-08,Declined,2026-08-24,
OFF-00004,APP-0045,CAND-0039,2026-09-03,Sales Rep,126954,USD,2026-09-29,Sent,2026-09-06,
OFF-00005,APP-0047,CAND-0044,2026-07-13,Sales Rep,123788,USD,2026-08-01,Sent,2026-07-18,
OFF-00006,APP-0057,CAND-0039,2026-07-12,Product Manager,119113,USD,2026-07-27,Sent,2026-07-14,
OFF-00007,APP-0058,CAND-0002,2026-06-30,Analyst,133607,USD,2026-07-30,Sent,2026-07-05,
OFF-00008,APP-0073,CAND-0015,2026-08-29,Analyst,124054,USD,2026-09-17,Sent,,
OFF-00009,APP-0074,CAND-0046,2026-08-05,Sales Rep,98284,USD,2026-08-20,Declined,,
OFF-00010,APP-0076,CAND-0005,2026-08-22,Analyst,132053,USD,2026-09-21,Declined,,Salary Negotiation
