customer_id,order_id,amount,date,segment
CUST-1,ORD-1000,100.0,2026-08-01,Enterprise
CUST-2,ORD-1001,150.0,2026-08-01,Mid-Market
CUST-3,ORD-1002,200.0,2026-08-01,SMB
CUST-4,ORD-1003,250.0,2026-08-01,Enterprise
CUST-5,ORD-1004,300.0,2026-08-01,Mid-Market
CUST-6,ORD-1005,350.0,2026-08-01,SMB
CUST-7,ORD-1006,400.0,2026-08-01,Enterprise
CUST-8,ORD-1007,450.0,2026-08-01,Mid-Market
CUST-9,ORD-1008,500.0,2026-08-01,SMB
CUST-10,ORD-1009,550.0,2026-08-01,Enterprise
CUST-11,ORD-1010,600.0,2026-08-01,Mid-Market
CUST-12,ORD-1011,650.0,2026-08-01,SMB
CUST-13,ORD-1012,700.0,2026-08-01,Enterprise
CUST-14,ORD-1013,750.0,2026-08-01,Mid-Market
CUST-15,ORD-1014,800.0,2026-08-01,SMB
CUST-16,ORD-1015,850.0,2026-08-01,Enterprise
CUST-17,ORD-1016,900.0,2026-08-01,Mid-Market
CUST-18,ORD-1017,950.0,2026-08-01,SMB
CUST-19,ORD-1018,1000.0,2026-08-01,Enterprise
CUST-20,ORD-1019,1050.0,2026-08-01,Mid-Market
CUST-21,ORD-1020,100.0,2026-08-01,SMB
CUST-22,ORD-1021,150.0,2026-08-01,Enterprise
CUST-23,ORD-1022,200.0,2026-08-01,Mid-Market
CUST-24,ORD-1023,250.0,2026-08-01,SMB
CUST-25,ORD-1024,300.0,2026-08-01,Enterprise
CUST-26,ORD-1025,350.0,2026-08-01,Mid-Market
CUST-27,ORD-1026,400.0,2026-08-01,SMB
CUST-28,ORD-1027,450.0,2026-08-01,Enterprise
CUST-29,ORD-1028,500.0,2026-08-01,Mid-Market
CUST-30,ORD-1029,550.0,2026-08-01,SMB
CUST-31,ORD-1030,600.0,2026-08-01,Enterprise
CUST-32,ORD-1031,650.0,2026-08-01,Mid-Market
CUST-33,ORD-1032,700.0,2026-08-01,SMB
CUST-34,ORD-1033,750.0,2026-08-01,Enterprise
CUST-35,ORD-1034,800.0,2026-08-01,Mid-Market
CUST-36,ORD-1035,850.0,2026-08-01,SMB
CUST-37,ORD-1036,900.0,2026-08-01,Enterprise
CUST-38,ORD-1037,950.0,2026-08-01,Mid-Market
CUST-39,ORD-1038,1000.0,2026-08-01,SMB
CUST-40,ORD-1039,1050.0,2026-08-01,Enterprise
CUST-41,ORD-1040,100.0,2026-08-01,Mid-Market
CUST-42,ORD-1041,150.0,2026-08-01,SMB
CUST-43,ORD-1042,200.0,2026-08-01,Enterprise
CUST-44,ORD-1043,250.0,2026-08-01,Mid-Market
CUST-45,ORD-1044,300.0,2026-08-01,SMB
CUST-46,ORD-1045,350.0,2026-08-01,Enterprise
CUST-47,ORD-1046,400.0,2026-08-01,Mid-Market
CUST-48,ORD-1047,450.0,2026-08-01,SMB
CUST-49,ORD-1048,500.0,2026-08-01,Enterprise
CUST-50,ORD-1049,550.0,2026-08-01,Mid-Market
CUST-1,ORD-1050,600.0,2026-08-01,SMB
CUST-2,ORD-1051,650.0,2026-08-01,Enterprise
CUST-3,ORD-1052,700.0,2026-08-01,Mid-Market
CUST-4,ORD-1053,750.0,2026-08-01,SMB
CUST-5,ORD-1054,800.0,2026-08-01,Enterprise
CUST-6,ORD-1055,850.0,2026-08-01,Mid-Market
CUST-7,ORD-1056,900.0,2026-08-01,SMB
CUST-8,ORD-1057,950.0,2026-08-01,Enterprise
CUST-9,ORD-1058,1000.0,2026-08-01,Mid-Market
CUST-10,ORD-1059,1050.0,2026-08-01,SMB
CUST-11,ORD-1060,100.0,2026-08-01,Enterprise
CUST-12,ORD-1061,150.0,2026-08-01,Mid-Market
CUST-13,ORD-1062,200.0,2026-08-01,SMB
CUST-14,ORD-1063,250.0,2026-08-01,Enterprise
CUST-15,ORD-1064,300.0,2026-08-01,Mid-Market
CUST-16,ORD-1065,350.0,2026-08-01,SMB
CUST-17,ORD-1066,400.0,2026-08-01,Enterprise
CUST-18,ORD-1067,450.0,2026-08-01,Mid-Market
CUST-19,ORD-1068,500.0,2026-08-01,SMB
CUST-20,ORD-1069,550.0,2026-08-01,Enterprise
CUST-21,ORD-1070,600.0,2026-08-01,Mid-Market
CUST-22,ORD-1071,650.0,2026-08-01,SMB
CUST-23,ORD-1072,700.0,2026-08-01,Enterprise
CUST-24,ORD-1073,750.0,2026-08-01,Mid-Market
